scorer,DLC_mobnet_100_miceProjectJun20shuffle1_10000,DLC_mobnet_100_miceProjectJun20shuffle1_10000,DLC_mobnet_100_miceProjectJun20shuffle1_10000,DLC_mobnet_100_miceProjectJun20shuffle1_10000,DLC_mobnet_100_miceProjectJun20shuffle1_10000,DLC_mobnet_100_miceProjectJun20shuffle1_10000
bodyparts,red,red,red,notRed,notRed,notRed
coords,x,y,likelihood,x,y,likelihood
0,436.88787841796875,201.36886596679688,0.9871010780334473,61.37797927856445,31.579992294311523,0.12365186959505081
1,436.2236022949219,200.6864776611328,0.9917727112770081,434.0697021484375,199.07455444335938,0.020494449883699417
2,437.3564147949219,201.1282501220703,0.9871883392333984,437.21673583984375,197.75543212890625,0.024077894166111946
3,436.2378234863281,200.63705444335938,0.9910247325897217,186.1421661376953,235.3132781982422,0.015230100601911545
4,436.251220703125,200.53294372558594,0.9923235177993774,335.2644348144531,204.4847412109375,0.01644502952694893
5,436.77423095703125,200.69973754882812,0.9918579459190369,362.6154479980469,106.64025115966797,0.03625896945595741
6,436.09796142578125,200.1095428466797,0.9929748773574829,637.95458984375,363.04583740234375,0.021624667569994926
7,436.1502990722656,200.57424926757812,0.9920125603675842,336.8551940917969,297.2202453613281,0.013011038303375244
8,437.9407653808594,200.55447387695312,0.9917334318161011,315.1210021972656,264.8499755859375,0.035148944705724716
9,437.43701171875,200.64395141601562,0.9888173341751099,59.98688888549805,60.65570831298828,0.052574094384908676
10,437.09027099609375,200.50411987304688,0.9929856657981873,270.48089599609375,47.409828186035156,0.030826449394226074
11,437.66754150390625,199.6390838623047,0.9926424622535706,60.084930419921875,59.317012786865234,0.022531306371092796
12,437.7823791503906,200.6839141845703,0.9903974533081055,437.727783203125,197.27200317382812,0.028132837265729904
13,436.77276611328125,201.03643798828125,0.9915087223052979,435.872802734375,198.44866943359375,0.012446428649127483
14,437.5321350097656,200.9459686279297,0.9905024766921997,301.32513427734375,168.7735595703125,0.014944473281502724
15,437.0086364746094,200.30592346191406,0.9912382960319519,507.3985900878906,268.40545654296875,0.02042478509247303
16,436.7106018066406,200.996826171875,0.9920877814292908,435.23211669921875,198.06446838378906,0.011009987443685532
17,437.4671325683594,200.69577026367188,0.9917300343513489,58.177520751953125,61.8203010559082,0.03718138858675957
18,436.0508117675781,200.29454040527344,0.9924741387367249,155.57652282714844,155.65940856933594,0.037401407957077026
19,436.34619140625,199.48513793945312,0.9941348433494568,442.1670837402344,198.28945922851562,0.01230695191770792
20,438.0285339355469,199.9405517578125,0.9920667409896851,438.338623046875,196.54383850097656,0.014942950569093227
21,437.3356018066406,200.81259155273438,0.990161657333374,61.997642517089844,61.10600662231445,0.02368786185979843
22,437.8978576660156,200.9527130126953,0.9887924790382385,438.2181396484375,197.31771850585938,0.01622348465025425
23,437.3440246582031,200.57705688476562,0.9923520684242249,348.9922790527344,91.49293518066406,0.024286070838570595
24,436.6703186035156,200.46694946289062,0.9894641637802124,437.3904113769531,196.38124084472656,0.030396312475204468
25,435.3528137207031,200.7794952392578,0.9921649694442749,315.8935546875,156.8350067138672,0.030389588326215744
26,436.1897277832031,200.64874267578125,0.9918966889381409,395.7034606933594,76.6455078125,0.027201879769563675
27,436.1825866699219,200.0941162109375,0.9932777285575867,435.6831359863281,197.63272094726562,0.012187006883323193
28,437.23077392578125,201.1066131591797,0.990662157535553,122.6265640258789,43.82557678222656,0.0660262182354927
29,436.3414306640625,199.96389770507812,0.9916111826896667,250.2331085205078,79.00914001464844,0.03774261102080345
30,435.7754821777344,200.03433227539062,0.9930510520935059,603.1524047851562,204.86669921875,0.0161221195012331
31,435.783447265625,201.1957244873047,0.9913422465324402,437.11456298828125,196.71470642089844,0.017723701894283295
32,436.6250915527344,200.16973876953125,0.9934036135673523,435.4060363769531,197.7013702392578,0.013754243962466717
33,436.1636657714844,200.6638946533203,0.9916568994522095,434.0733947753906,198.34097290039062,0.017052676528692245
34,436.49969482421875,200.723876953125,0.9920072555541992,434.7322692871094,198.900390625,0.015967007726430893
35,435.498779296875,199.66920471191406,0.9936339855194092,60.04371643066406,31.5330753326416,0.01616065762937069
36,436.6959533691406,199.78965759277344,0.9938024282455444,435.1434631347656,198.02908325195312,0.018614936619997025
37,437.07232666015625,200.2432861328125,0.9935430288314819,434.6703186035156,198.91616821289062,0.020407672971487045
38,437.17694091796875,201.344482421875,0.9886837601661682,437.3511047363281,197.18983459472656,0.03188784420490265
39,436.3446044921875,200.70982360839844,0.9931457042694092,411.67401123046875,77.86293029785156,0.04430009052157402
40,435.3105163574219,200.23715209960938,0.9937254786491394,332.19927978515625,299.30389404296875,0.013154593296349049
41,436.5600280761719,199.97140502929688,0.9934269189834595,297.80584716796875,157.52749633789062,0.06583824753761292
42,435.8417053222656,199.78440856933594,0.993454098701477,58.716346740722656,59.7222900390625,0.036849092692136765
43,436.16009521484375,200.65907287597656,0.9905750155448914,61.3165397644043,60.38594436645508,0.021458232775330544
44,436.5477600097656,200.6690673828125,0.9918604493141174,125.54026794433594,188.22064208984375,0.02748038060963154
45,437.6773986816406,201.40525817871094,0.9886497259140015,434.6776428222656,198.4479217529297,0.018397897481918335
46,436.9574890136719,201.05856323242188,0.9897664189338684,435.2131652832031,198.7761688232422,0.01511790044605732
47,436.3479919433594,200.49913024902344,0.992920458316803,434.6117248535156,197.9346466064453,0.014437289908528328
48,439.8883972167969,198.69168090820312,0.9932998418807983,144.69410705566406,60.307212829589844,0.024447569623589516
49,439.54925537109375,200.85972595214844,0.9904471635818481,269.0615234375,174.1702423095703,0.02011905051767826
50,439.0231018066406,200.55068969726562,0.9921619296073914,61.557281494140625,77.17818450927734,0.06848645955324173
51,436.9461669921875,199.24032592773438,0.9937961101531982,61.06126403808594,60.63752365112305,0.0659499391913414
52,266.9419860839844,339.47137451171875,0.028706371784210205,432.5278625488281,199.6027069091797,0.9705235958099365
53,429.2913818359375,203.57089233398438,0.018477346748113632,430.3906555175781,198.52224731445312,0.9570275545120239
54,430.09521484375,203.46685791015625,0.018472546711564064,432.4019470214844,198.33189392089844,0.95030677318573
